#header_line 1: mpirun --report-bindings --mca pml ucx --mca btl vader,self --mca btl_tcp_if_include br0 --map-by node -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:03475] MCW rank 0 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
[ct1pt-tnode008:13560] MCW rank 1 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
#header_line 3: latency[usec] = 1.22 bandwidth[Mbytes/sec] = 12153.1
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,0.99,0,1.22,0
1,1000,0.99,1.01,1.22,0.82
2,1000,1,1.99,1.22,1.64
4,1000,1,3.99,1.22,3.29
8,1000,1.06,7.98,1.22,6.57
16,1000,1,16.05,1.22,13.14
32,1000,1.01,31.56,1.22,26.25
64,1000,1.21,55.39,1.22,52.4
128,1000,1.19,107.21,1.23,104.34
256,1000,1.59,170.54,1.24,206.91
512,1000,1.5,340.2,1.26,406.89
1024,1000,1.73,610.27,1.3,787.43
2048,1000,2.33,878.72,1.38,1479.02
4096,1000,3.19,1284.65,1.55,2637.11
8192,1000,4.47,1833.2,1.89,4333.82
16384,1000,6.37,2584.31,2.56,6389.23
32768,1000,8.53,3855.43,3.91,8375.32
65536,640,12.49,5298.73,6.61,9916.6
131072,320,18.7,7048.2,12,10921.53
262144,160,32.38,8152.01,22.79,11504.45
524288,80,55.4,9508.39,44.36,11819.89
1048576,40,98.5,10701.53,87.5,11984.18
2097152,20,184.89,11395.45,173.78,12068.05
4194304,10,356.05,11835.36,346.34,12110.43
8388608,5,698.09,12057.22,691.46,12131.73
16777216,2,1406.9,12058.95,1381.7,12142.41
33554432,1,2760.6,12154.77,2762.19,12147.75
67108864,1,5584.06,12086.3,5523.17,12150.43
134217728,1,11032.44,12165.74,11045.12,12151.77
268435456,1,22113.81,12142.02,22089.03,12152.44
