#header_line 1: mpirun --report-bindings --mca pml ob1 --mca btl vader,self --mca btl_tcp_if_include br0 --map-by socket -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:05707] MCW rank 0 bound to socket 0[core 0[hwt 0]], socket 0[core 1[hwt 0]], socket 0[core 2[hwt 0]], socket 0[core 3[hwt 0]], socket 0[core 4[hwt 0]], socket 0[core 5[hwt 0]], socket 0[core 6[hwt 0]], socket 0[core 7[hwt 0]], socket 0[core 8[hwt 0]], socket 0[core 9[hwt 0]], socket 0[core 10[hwt 0]], socket 0[core 11[hwt 0]]: [B/B/B/B/B/B/B/B/B/B/B/B][./././././././././././.]
[ct1pt-tnode007:05707] MCW rank 1 bound to socket 1[core 12[hwt 0]], socket 1[core 13[hwt 0]], socket 1[core 14[hwt 0]], socket 1[core 15[hwt 0]], socket 1[core 16[hwt 0]], socket 1[core 17[hwt 0]], socket 1[core 18[hwt 0]], socket 1[core 19[hwt 0]], socket 1[core 20[hwt 0]], socket 1[core 21[hwt 0]], socket 1[core 22[hwt 0]], socket 1[core 23[hwt 0]]: [./././././././././././.][B/B/B/B/B/B/B/B/B/B/B/B]
#header_line 3: latency[usec] = 0.91 bandwidth[Mbytes/sec] = 3951.61
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,0.54,0,0.91,0
1,1000,0.61,1.63,0.91,1.1
2,1000,0.62,3.25,0.91,2.19
4,1000,0.62,6.51,0.91,4.38
8,1000,0.61,13.03,0.91,8.75
16,1000,0.65,24.61,0.92,17.47
32,1000,0.68,46.83,0.92,34.78
64,1000,0.85,75.41,0.93,68.95
128,1000,1.03,124.67,0.94,135.54
256,1000,1.17,219.96,0.98,262.09
512,1000,1.12,458.17,1.04,491.57
1024,1000,1.43,716.32,1.17,874.37
2048,1000,1.74,1182.5,1.43,1431.9
4096,1000,2.77,1482.07,1.95,2102.09
8192,1000,3.28,2502.75,2.99,2744.32
16384,1000,3.61,4546.65,5.06,3239.13
32768,1000,4.89,6714.89,9.2,3560.07
65536,640,6.38,10287.56,17.5,3745.63
131072,320,11.1,11835.12,34.08,3845.87
262144,160,19.65,13350.65,67.25,3898.02
524288,80,39.92,13141.99,133.59,3924.63
1048576,40,95.78,10952.25,266.27,3938.07
2097152,20,214.92,9760.99,531.62,3944.83
4194304,10,409.07,10254.08,1062.33,3948.22
8388608,5,896.06,9364.38,2123.75,3949.91
16777216,2,3231.25,5193.13,4246.58,3950.76
33554432,1,8453.69,3969.27,8492.25,3951.18
67108864,1,17019.65,3943.06,16983.58,3951.4
134217728,1,33986.83,3949.16,33966.26,3951.5
268435456,1,67920.29,3952.28,67931.6,3951.56
