X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;0,25;0;-46,1;0
1;1000;0,28;3,6;-46,1;-0,02
2;1000;0,28;7,21;-46,1;-0,04
4;1000;0,28;14,42;-46,1;-0,09
8;1000;0,28;28,78;-46,1;-0,17
16;1000;0,3;53,29;-46,1;-0,35
32;1000;0,3;107,17;-46,09;-0,69
64;1000;0,34;189,2;-46,08;-1,39
128;1000;0,39;331,19;-46,07;-2,78
256;1000;0,46;560,49;-46,04;-5,56
512;1000;0,61;834,17;-45,99;-11,13
1024;1000;0,71;1436,42;-45,87;-22,32
2048;1000;0,87;2344,56;-45,64;-44,87
4096;1000;1,77;2318,77;-45,19;-90,64
8192;1000;2,09;3925,37;-44,28;-185,02
16384;1000;2,67;6141,95;-42,45;-385,94
32768;1000;3,81;8623,31;-38,8;-844,44
65536;640;5,44;12067,71;-31,51;-2079,84
131072;320;10,32;12740,36;-16,92;-7746,07
262144;160;19,22;13648,7;12,26;21387,4
524288;80;40,18;13056,41;70,61;7424,81
1048576;40;98,24;10677,18;187,33;5597,63
2097152;20;213,36;9841,5;420,75;4984,33
4194304;10;490,3;8556,38;887,6;4725,45
8388608;5;1522,25;5511,38;1821,3;4605,85
16777216;2;3728,58;4499,75;3688,69;4548,29
33554432;1;7483,76;4483,77;7423,48;4520,04
67108864;1;14951,07;4488,7;14893,05;4506,05
134217728;1;29864,41;4494,36;29832,21;4499,09
268435456;1;59687,42;4497,47;59710,52;4495,61
