X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;0,21;0;-48,81;0
1;1000;0,2;4,96;-48,81;-0,02
2;1000;0,2;10,21;-48,81;-0,04
4;1000;0,2;20,47;-48,81;-0,08
8;1000;0,2;40,91;-48,81;-0,16
16;1000;0,19;83,33;-48,81;-0,33
32;1000;0,22;143,79;-48,81;-0,66
64;1000;0,22;289,49;-48,8;-1,31
128;1000;0,31;416,8;-48,79;-2,62
256;1000;0,33;776,99;-48,77;-5,25
512;1000;0,38;1361,92;-48,74;-10,51
1024;1000;0,5;2062,61;-48,66;-21,05
2048;1000;0,74;2755,27;-48,5;-42,23
4096;1000;1,12;3664,38;-48,18;-85,02
8192;1000;1,87;4379,72;-47,54;-172,31
16384;1000;2,98;5505,65;-46,27;-354,1
32768;1000;4,83;6795,43;-43,72;-749,43
65536;640;8,23;7964,27;-38,63;-1696,36
131072;320;14,78;8871,01;-28,45;-4606,78
262144;160;13,51;19460,69;-8,09;-32406,1
524288;80;25,86;20354,98;32,64;16064,76
1048576;40;61,2;17153,17;114,09;9191,07
2097152;20;143,05;14672,43;276,99;7571,29
4194304;10;320,72;13086,78;602,79;6958,16
8388608;5;889,45;9434,71;1254,39;6687,38
16777216;2;2298,55;7299,49;2557,6;6559,75
33554432;1;5209,25;6441,43;5164,02;6497,74
67108864;1;10448,53;6422,9;10376,85;6467,17
134217728;1;20856,62;6435,27;20802,51;6452
268435456;1;41636,41;6447,17;41653,84;6444,44
