X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;0,2;0;-48,89;0
1;1000;0,2;5;-48,89;-0,02
2;1000;0,19;10,34;-48,89;-0,04
4;1000;0,19;20,73;-48,89;-0,08
8;1000;0,19;41,79;-48,89;-0,16
16;1000;0,19;84,91;-48,89;-0,33
32;1000;0,22;142,76;-48,89;-0,65
64;1000;0,22;286,75;-48,88;-1,31
128;1000;0,31;414,33;-48,87;-2,62
256;1000;0,33;776,97;-48,85;-5,24
512;1000;0,39;1314,64;-48,81;-10,49
1024;1000;0,5;2064,81;-48,73;-21,01
2048;1000;0,74;2755,05;-48,57;-42,16
4096;1000;1,12;3670,02;-48,25;-84,88
8192;1000;1,87;4392,47;-47,62;-172,04
16384;1000;2,96;5531,41;-46,34;-353,53
32768;1000;4,79;6850,19;-43,8;-748,17
65536;640;8,18;8015,95;-38,7;-1693,29
131072;320;14,77;8877,74;-28,52;-4596,58
262144;160;13,1;20046,23;-8,14;-32209,94
524288;80;25,29;20811,42;32,61;16075,37
1048576;40;60,35;17397,18;114,12;9188,34
2097152;20;142;14782,99;277,13;7567,34
4194304;10;322,88;13004,12;603,16;6953,93
8388608;5;890,37;9423,55;1255,2;6683,07
16777216;2;2294,35;7312,99;2559,3;6555,4
33554432;1;5220,46;6427,72;5167,49;6493,37
67108864;1;10445,34;6424,85;10383,87;6462,8
134217728;1;20883,19;6427,11;20816,63;6447,62
268435456;1;41660,43;6443,44;41682,15;6440,06
