X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;0,2;0;-48,57;0
1;1000;0,2;4,99;-48,57;-0,02
2;1000;0,19;10,33;-48,57;-0,04
4;1000;0,19;20,7;-48,57;-0,08
8;1000;0,19;41,34;-48,57;-0,16
16;1000;0,19;84,46;-48,56;-0,33
32;1000;0,22;142,24;-48,56;-0,66
64;1000;0,22;285,26;-48,56;-1,32
128;1000;0,31;412,31;-48,55;-2,64
256;1000;0,33;771,59;-48,53;-5,28
512;1000;0,39;1323,13;-48,49;-10,56
1024;1000;0,49;2076,22;-48,41;-21,15
2048;1000;0,74;2755,24;-48,25;-42,45
4096;1000;1,12;3662,74;-47,93;-85,46
8192;1000;1,88;4364,26;-47,29;-173,22
16384;1000;2,99;5489,94;-46,02;-356,02
32768;1000;4,84;6778,54;-43,47;-753,77
65536;640;8,22;7974,92;-38,38;-1707,66
131072;320;14,86;8825,05;-28,19;-4649,83
262144;160;13,57;19377,34;-7,81;-33564,75
524288;80;26,26;20035,42;32,95;15913,17
1048576;40;61,42;17092,82;114,46;9161,02
2097152;20;143,76;14597,58;277,49;7557,63
4194304;10;321;13077,25;603,54;6949,47
8388608;5;888,27;9446,18;1255,65;6680,67
16777216;2;2297,94;7301,32;2559,87;6553,92
33554432;1;5228,65;6417,65;5168,32;6492,33
67108864;1;10442,88;6426,34;10385,2;6461,97
134217728;1;20888,13;6425,58;20818,97;6446,9
268435456;1;41663,42;6442,98;41686,5;6439,39
