X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;5,35;0;-7,56;0
1;1000;5,44;0,18;-7,56;-0,13
2;1000;5,44;0,37;-7,56;-0,26
4;1000;5,44;0,74;-7,56;-0,53
8;1000;5,44;1,47;-7,56;-1,06
16;1000;5,44;2,94;-7,56;-2,12
32;1000;5,45;5,88;-7,56;-4,24
64;1000;5,46;11,72;-7,55;-8,48
128;1000;5,54;23,14;-7,54;-16,98
256;1000;5,57;45,99;-7,51;-34,07
512;1000;5,62;91,22;-7,47;-68,58
1024;1000;6,2;165,13;-7,37;-138,96
2048;1000;6,04;339,29;-7,18;-285,39
4096;1000;6,98;587,39;-6,79;-603,21
8192;1000;7,43;1103,14;-6,02;-1361,05
16384;1000;9,56;1714,64;-4,48;-3660,43
32768;1000;15,62;2098,11;-1,39;-23571,21
65536;640;29,51;2221,64;4,78;13706,36
131072;320;39,4;3328,1;17,12;7654
262144;160;54,61;4801,36;41,81;6269,73
524288;80;87,26;6009,55;91,18;5749,79
1048576;40;149,26;7026,33;189,93;5520,87
2097152;20;290,04;7233;387,42;5413,11
4194304;10;598,71;7008,05;782,4;5360,8
8388608;5;1455,29;5765,16;1572,37;5335,02
16777216;2;3161,8;5306,89;3152,3;5322,22
33554432;1;6369,89;5268,13;6312,16;5315,84
67108864;1;12739,51;5268,23;12631,88;5312,66
134217728;1;25285,65;5308,48;25271,32;5311,07
268435456;1;50515,73;5314,99;50550,2;5310,28
