X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;0,25;0;-45,86;0
1;1000;0,28;3,6;-45,86;-0,02
2;1000;0,28;7,2;-45,86;-0,04
4;1000;0,28;14,37;-45,86;-0,09
8;1000;0,28;28,74;-45,86;-0,17
16;1000;0,3;53,33;-45,86;-0,35
32;1000;0,3;107,09;-45,85;-0,7
64;1000;0,34;189,12;-45,85;-1,4
128;1000;0,39;331,8;-45,83;-2,79
256;1000;0,45;564,45;-45,8;-5,59
512;1000;0,61;836,34;-45,75;-11,19
1024;1000;0,7;1459,7;-45,63;-22,44
2048;1000;0,87;2351,76;-45,41;-45,1
4096;1000;1,77;2317,04;-44,95;-91,12
8192;1000;2,09;3926,71;-44,04;-186,02
16384;1000;2,67;6138,04;-42,22;-388,11
32768;1000;3,78;8681,5;-38,57;-849,58
65536;640;5,44;12073,4;-31,28;-2095,24
131072;320;10,23;12844,6;-16,7;-7850,42
262144;160;19,19;13668,97;12,47;21024,36
524288;80;40,14;13069,36;70,8;7405,4
1048576;40;97,89;10715,55;187,46;5593,68
2097152;20;213,42;9836,38;420,78;4984,02
4194304;10;490,25;8558;887,41;4726,45
8388608;5;1518,28;5525,3;1820,68;4607,39
16777216;2;3729,23;4498,88;3687,23;4550,09
33554432;1;7480,77;4485,46;7420,32;4521,97
67108864;1;14948,26;4489,43;14886,5;4508,04
134217728;1;29858,56;4495,12;29818,85;4501,1
268435456;1;59655,73;4499,75;59683,57;4497,64
