X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;0,21;0;-48,93;0
1;1000;0,2;4,89;-48,93;-0,02
2;1000;0,2;10,15;-48,93;-0,04
4;1000;0,2;20,34;-48,93;-0,08
8;1000;0,2;40,76;-48,93;-0,16
16;1000;0,19;82,16;-48,93;-0,33
32;1000;0,22;144,04;-48,93;-0,65
64;1000;0,22;289,2;-48,92;-1,31
128;1000;0,31;411,81;-48,91;-2,62
256;1000;0,33;786,71;-48,89;-5,24
512;1000;0,38;1342,43;-48,85;-10,48
1024;1000;0,49;2091,72;-48,77;-20,99
2048;1000;0,74;2749,52;-48,62;-42,13
4096;1000;1,12;3662;-48,3;-84,81
8192;1000;1,87;4384,36;-47,66;-171,88
16384;1000;2,98;5494,48;-46,39;-353,2
32768;1000;4,82;6802,39;-43,84;-747,44
65536;640;8,21;7990,02;-38,75;-1691,36
131072;320;14,74;8897,18;-28,56;-4589,07
262144;160;13,41;19609,66;-8,19;-32007,51
524288;80;25,55;20599,95;32,55;16105,53
1048576;40;60,81;17264,68;114,04;9194,8
2097152;20;142,32;14746,03;277,01;7570,58
4194304;10;320,91;13078,01;602,96;6956,18
8388608;5;888,67;9442,98;1254,85;6684,92
16777216;2;2302,61;7286,78;2558,64;6557,08
33554432;1;5214,51;6434,98;5166,22;6494,97
67108864;1;10452,95;6420,15;10381,37;6464,35
134217728;1;20855,67;6435,58;20811,68;6449,16
268435456;1;41659,42;6443,61;41672,28;6441,58
