X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;0,2;0;-48,63;0
1;1000;0,2;5,11;-48,63;-0,02
2;1000;0,19;10,56;-48,63;-0,04
4;1000;0,19;21,09;-48,63;-0,08
8;1000;0,19;42,51;-48,63;-0,16
16;1000;0,19;86,21;-48,63;-0,33
32;1000;0,22;142,6;-48,62;-0,66
64;1000;0,22;286,09;-48,62;-1,32
128;1000;0,31;420,34;-48,61;-2,63
256;1000;0,33;765,35;-48,59;-5,27
512;1000;0,39;1307,69;-48,55;-10,55
1024;1000;0,49;2080,37;-48,47;-21,13
2048;1000;0,74;2759,35;-48,31;-42,39
4096;1000;1,12;3667,36;-47,99;-85,35
8192;1000;1,87;4372,95;-47,35;-173
16384;1000;2,97;5515,35;-46,08;-355,56
32768;1000;4,81;6821,96;-43,53;-752,76
65536;640;8,17;8026,09;-38,43;-1705,2
131072;320;14,75;8893,26;-28,24;-4641,68
262144;160;13,39;19649,01;-7,85;-33402,1
524288;80;25,66;20531,6;32,93;15920,49
1048576;40;61,07;17195,42;114,49;9158,57
2097152;20;143,13;14669,04;277,61;7554,3
4194304;10;322,89;13002,57;603,85;6945,95
8388608;5;892,82;9398,56;1256,33;6677,1
16777216;2;2297,35;7303,46;2561,28;6550,33
33554432;1;5230,71;6415,25;5171,18;6488,73
67108864;1;10450,02;6422,18;10391;6458,37
134217728;1;20894,28;6423,93;20830,62;6443,29
268435456;1;41689,3;6439,22;41709,87;6435,78
