X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;0,2;0;-48,61;0
1;1000;0,2;5;-48,61;-0,02
2;1000;0,19;10,3;-48,61;-0,04
4;1000;0,19;20,59;-48,61;-0,08
8;1000;0,19;41,47;-48,61;-0,16
16;1000;0,19;83,92;-48,61;-0,33
32;1000;0,22;142,42;-48,61;-0,66
64;1000;0,22;286,29;-48,6;-1,32
128;1000;0,31;413,19;-48,59;-2,63
256;1000;0,33;772,87;-48,57;-5,27
512;1000;0,38;1341,47;-48,53;-10,55
1024;1000;0,5;2060,55;-48,45;-21,13
2048;1000;0,74;2754,46;-48,29;-42,41
4096;1000;1,12;3670,99;-47,98;-85,38
8192;1000;1,87;4378,16;-47,34;-173,05
16384;1000;2,99;5489,94;-46,07;-355,66
32768;1000;4,81;6811,51;-43,52;-752,95
65536;640;8,19;8001,77;-38,43;-1705,46
131072;320;14,81;8853,93;-28,24;-4640,98
262144;160;13,54;19427,42;-7,87;-33299,09
524288;80;26,28;20037,43;32,87;15951,64
1048576;40;61,48;17079,32;114,35;9170,13
2097152;20;144,35;14540,72;277,31;7562,6
4194304;10;322,3;13025,39;603,22;6953,15
8388608;5;890,58;9421,78;1255,06;6683,83
16777216;2;2297,67;7302,16;2558,73;6556,85
33554432;1;5220,9;6427,12;5166,08;6495,15
67108864;1;10440,72;6427,66;10380,76;6464,73
134217728;1;20871,46;6430,73;20810,14;6449,63
268435456;1;41649,69;6445,09;41668,9;6442,11
