X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;0,2;0;0,26;0
1;1000;0,2;5,04;0,26;3,91
2;1000;0,19;10,49;0,26;7,82
4;1000;0,19;21,12;0,26;15,61
8;1000;0,19;42,5;0,26;31,15
16;1000;0,19;85,47;0,26;62,01
32;1000;0,22;143,18;0,26;122,85
64;1000;0,22;288,52;0,27;241,13
128;1000;0,31;414,13;0,28;465
256;1000;0,33;775,54;0,29;867,83
512;1000;0,39;1319,79;0,33;1531
1024;1000;0,49;2081,4;0,41;2477,68
2048;1000;0,74;2757,01;0,57;3586,53
4096;1000;1,12;3659,4;0,89;4620,43
8192;1000;1,87;4381,6;1,52;5398,56
16384;1000;2,98;5491,64;2,78;5894,94
32768;1000;4,87;6734,26;5,3;6179,02
65536;640;8,46;7753,04;10,35;6331,57
131072;320;15,24;8600,86;20,45;6410,71
262144;160;13,25;19836,88;40,64;6451,03
524288;80;23,94;21995,3;81,02;6471,38
1048576;40;52,41;20041,03;161,78;6481,6
2097152;20;140,32;14950,15;323,3;6486,72
4194304;10;302,72;13858,24;646,34;6489,29
8388608;5;851,07;9859,37;1292,43;6490,57
16777216;2;2246,99;7467,01;2584,6;6491,21
33554432;1;5158,08;6505,5;5168,95;6491,53
67108864;1;10341,78;6489,31;10337,65;6491,7
134217728;1;20695,06;6485,66;20675,04;6491,78
268435456;1;41343,32;6493,01;41349,83;6491,82
