X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;16,16;0;80,02;0
1;1000;16,23;0,06;80,02;0,01
2;1000;16,23;0,12;80,02;0,02
4;1000;16,23;0,25;80,03;0,05
8;1000;16,23;0,49;80,03;0,1
16;1000;16,28;0,98;80,03;0,2
32;1000;16,33;1,96;80,04;0,4
64;1000;16,52;3,88;80,05;0,8
128;1000;16,98;7,54;80,07;1,6
256;1000;17;15,07;80,12;3,2
512;1000;17,37;29,51;80,22;6,38
1024;1000;17,85;57,4;80,41;12,73
2048;1000;171,62;51,56;80,8;25,35
4096;1000;39,79;102,96;81,57;50,21
8192;1000;40,94;200,14;83,12;98,55
16384;1000;43,34;378,69;86,22;190,02
32768;1000;52,42;626,65;92,42;354,54
65536;640;63,6;1031,75;104,82;625,2
131072;320;117,49;1117,96;129,62;1011,16
262144;160;162,47;1621,06;179,23;1462,64
524288;80;243,69;2163,41;278,43;1883,03
1048576;40;394,77;2679,94;476,83;2199,04
2097152;20;786,99;2851,65;873,64;2400,47
4194304;10;1805,21;2799,7;1667,26;2515,69
8388608;5;3231,04;2625,26;3254,49;2577,55
16777216;2;6610,31;2564,25;6428,96;2609,63
33554432;1;13118,64;2583,36;12777,91;2625,97
67108864;1;25920,54;2614,68;25475,79;2634,22
134217728;1;51262,22;2644,18;50871,55;2638,37
268435456;1;101302,31;2678,59;101663,08;2640,44
