X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;0,99;0;4,01;0
1;1000;0,99;1,01;4,01;0,25
2;1000;1;1,99;4,01;0,5
4;1000;1;3,99;4,01;1
8;1000;0,99;8,04;4,01;2
16;1000;1;16,04;4,01;3,99
32;1000;1,01;31,57;4,01;7,98
64;1000;1,15;55,82;4,01;15,96
128;1000;1,2;106,99;4,02;31,88
256;1000;1,55;170,18;4,03;63,59
512;1000;1,52;338,25;4,05;126,51
1024;1000;1,66;615,14;4,09;250,41
2048;1000;2,33;878,39;4,17;490,73
4096;1000;3,18;1286,18;4,34;943,39
8192;1000;4,47;1832,86;4,68;1750,99
16384;1000;6,28;2607,19;5,35;3061,3
32768;1000;8,45;3880,52;6,7;4891,53
65536;640;12,29;5332,55;9,39;6977,24
131072;320;18,48;7092,05;14,78;8867,83
262144;160;32,07;8175,22;25,56;10257,55
524288;80;54,98;9540,94;47,11;11129,64
1048576;40;97,62;10742,37;90,21;11623,76
2097152;20;183,15;11451,55;176,41;11887,65
4194304;10;352,76;11890;348,82;12024,14
8388608;5;692,88;12106,87;693,64;12093,57
16777216;2;1382,18;12138,21;1383,28;12128,58
33554432;1;2760,55;12155,01;2762,55;12146,16
67108864;1;5523,95;12148,73;5521,1;12154,98
134217728;1;11032,56;12165,6;11038,2;12159,39
268435456;1;22074,68;12160,34;22072,39;12161,59
