X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;0,99;0;4,01;0
1;1000;0,99;1,01;4,01;0,25
2;1000;1;2;4,01;0,5
4;1000;1;4;4,01;1
8;1000;0,99;8,05;4,01;1,99
16;1000;0,99;16,08;4,01;3,99
32;1000;1,02;31,51;4,01;7,97
64;1000;1,14;55,88;4,02;15,93
128;1000;1,19;107,18;4,02;31,82
256;1000;1,52;172,24;4,03;63,47
512;1000;1,51;339,91;4,05;126,29
1024;1000;1,67;614,43;4,1;249,98
2048;1000;2,33;878,6;4,18;489,88
4096;1000;3,19;1283,76;4,35;941,83
8192;1000;4,48;1830,31;4,69;1748,3
16384;1000;6,32;2591,08;5,36;3057,18
32768;1000;8,46;3872,3;6,71;4886,25
65536;640;12,28;5335,08;9,4;6971,84
131072;320;18,49;7089,26;14,79;8863,41
262144;160;31,98;8196,32;25,56;10254,51
524288;80;54,86;9561,96;47,12;11127,76
1048576;40;97,51;10754,03;90,22;11622,64
2097152;20;183,17;11450,07;176,42;11886,96
4194304;10;352,65;11893,61;348,84;12023,68
8388608;5;692,83;12107,76;693,66;12093,23
16777216;2;1381,84;12141,19;1383,31;12128,3
33554432;1;2760,45;12155,45;2762,61;12145,92
67108864;1;5523,53;12149,65;5521,21;12154,74
134217728;1;11035,8;12162,04;11038,4;12159,16
268435456;1;22073,74;12160,85;22072,8;12161,37
