X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;0,99;0;4,03;0
1;1000;0,99;1,01;4,03;0,25
2;1000;1;1,99;4,03;0,5
4;1000;1,01;3,98;4,03;0,99
8;1000;0,99;8,05;4,03;1,99
16;1000;1;16,04;4,03;3,97
32;1000;1,01;31,55;4,03;7,94
64;1000;1,14;55,88;4,03;15,87
128;1000;1,19;107,15;4,04;31,7
256;1000;1,58;168,22;4,05;63,23
512;1000;1,53;337,26;4,07;125,81
1024;1000;1,67;612,79;4,11;249,05
2048;1000;2,33;879,03;4,2;488,1
4096;1000;3,19;1284,14;4,36;938,55
8192;1000;4,48;1828,16;4,7;1742,63
16384;1000;6,32;2593,71;5,37;3048,53
32768;1000;8,48;3864,76;6,72;4875,24
65536;640;12,3;5326,92;9,42;6960,7
131072;320;18,51;7081,43;14,8;8854,53
262144;160;31,99;8195,17;25,58;10248,73
524288;80;54,88;9557,63;47,13;11124,56
1048576;40;97,5;10755,14;90,23;11621,1
2097152;20;183,64;11424,94;176,43;11886,38
4194304;10;352,66;11893,31;348,84;12023,61
8388608;5;692,65;12110,91;693,65;12093,43
16777216;2;1382,17;12138,29;1383,27;12128,64
33554432;1;2760,51;12155,17;2762,52;12146,32
67108864;1;5523,73;12149,21;5521,01;12155,18
134217728;1;11033,54;12164,53;11037,99;12159,61
268435456;1;22073,69;12160,88;22071,96;12161,83
