X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;16,89;0;667,89;0
1;1000;16,4;0,06;667,89;0
2;1000;16,31;0,12;667,89;0
4;1000;16,22;0,25;667,89;0,01
8;1000;16,23;0,49;667,89;0,01
16;1000;16,29;0,99;667,9;0,02
32;1000;16,55;1,96;667,9;0,05
64;1000;16,75;3,88;667,92;0,1
128;1000;17,22;7,52;667,94;0,19
256;1000;17,27;14,99;667,99;0,38
512;1000;18,35;29,41;668,1;0,77
1024;1000;18,43;56,97;668,31;1,53
2048;1000;41,08;51,59;668,73;3,06
4096;1000;40,69;102,2;669,57;6,12
8192;1000;41,43;199,66;671,25;12,2
16384;1000;43,76;379,39;674,6;24,29
32768;1000;50,61;648,95;681,31;48,1
65536;640;150,43;436,04;694,74;94,33
131072;320;155,66;846,38;721,59;181,64
262144;160;205,04;1283,02;775,29;338,12
524288;80;300,76;1752,01;882,7;593,96
1048576;40;18955,85;2033,86;1097,5;955,42
2097152;20;889,64;2367,04;1527,11;1373,28
4194304;10;1717,67;2461,87;2386,34;1757,63
8388608;5;3492,27;2438,03;4104,79;2043,62
16777216;2;6880,24;2476,04;7541,69;2224,6
33554432;1;13645,66;2496,49;14415,48;2327,67
67108864;1;27013,36;2520,79;28163,08;2382,87
134217728;1;54602,55;2511,66;55658,27;2411,46
268435456;1;111568,56;2504,85;110648,64;2426,02
