X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;0,99;0;3,95;0
1;1000;0,99;1,01;3,95;0,25
2;1000;1;2;3,95;0,51
4;1000;1;4;3,95;1,01
8;1000;0,99;8,06;3,95;2,02
16;1000;1;16,07;3,95;4,05
32;1000;1,02;31,5;3,96;8,09
64;1000;1,15;55,86;3,96;16,17
128;1000;1,2;107,09;3,96;32,3
256;1000;1,51;173,25;3,97;64,43
512;1000;1,51;339,86;3,99;128,17
1024;1000;1,67;614,73;4,04;253,68
2048;1000;2,33;879,05;4,12;496,99
4096;1000;3,18;1287,7;4,29;954,95
8192;1000;4,47;1834,78;4,63;1770,87
16384;1000;6,27;2611,81;5,3;3091,61
32768;1000;8,44;3883,39;6,65;4930,09
65536;640;12,27;5342,26;9,34;7016,26
131072;320;18,48;7093,77;14,73;8899,08
262144;160;32,06;8177,77;25,5;10278,16
524288;80;54,94;9548,65;47,06;11141,45
1048576;40;97,55;10750,05;90,16;11629,86
2097152;20;183,16;11450,5;176,37;11890,49
4194304;10;352,66;11893,26;348,79;12025,23
8388608;5;692,77;12108,78;693,63;12093,75
16777216;2;1382,16;12138,4;1383,31;12128,3
33554432;1;2760,26;12156,27;2762,67;12145,66
67108864;1;5523,88;12148,87;5521,39;12154,35
134217728;1;11032,92;12165,21;11038,82;12158,7
268435456;1;22076,25;12159,47;22073,69;12160,88
