X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;0,99;0;3,93;0
1;1000;0,99;1,01;3,93;0,25
2;1000;1;2;3,93;0,51
4;1000;1;4;3,93;1,02
8;1000;0,99;8,07;3,93;2,04
16;1000;0,99;16,1;3,93;4,07
32;1000;1,01;31,75;3,93;8,14
64;1000;1,15;55,88;3,93;16,27
128;1000;1,19;107,28;3,94;32,49
256;1000;1,57;168,72;3,95;64,8
512;1000;1,51;339,91;3,97;128,92
1024;1000;1,67;614,6;4,01;255,14
2048;1000;2,33;879,71;4,1;499,8
4096;1000;3,18;1286,38;4,27;960,15
8192;1000;4,46;1836,11;4,6;1779,81
16384;1000;6,28;2609,38;5,28;3105,25
32768;1000;8,42;3893,52;6,62;4947,48
65536;640;12,26;5346,07;9,32;7033,98
131072;320;18,47;7097,85;14,7;8913,53
262144;160;31,98;8197,16;25,48;10288,06
524288;80;54,89;9556,29;47,03;11147,58
1048576;40;97,47;10758,18;90,13;11633,54
2097152;20;183,21;11447,63;176,34;11892,77
4194304;10;352,63;11894,47;348,75;12026,76
8388608;5;692,67;12110,62;693,57;12094,9
16777216;2;1382,19;12138,16;1383,2;12129,26
33554432;1;2759,74;12158,57;2762,48;12146,51
67108864;1;5522,59;12151,71;5521,02;12155,15
134217728;1;11033,15;12164,95;11038,11;12159,48
268435456;1;22074,65;12160,35;22072,3;12161,65
