X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;0,99;0;5,96;0
1;1000;0,99;1,01;5,96;0,17
2;1000;1;1,99;5,96;0,34
4;1000;1;3,99;5,96;0,67
8;1000;1,06;7,98;5,96;1,34
16;1000;1;16,05;5,96;2,68
32;1000;1,01;31,56;5,96;5,37
64;1000;1,21;55,39;5,96;10,73
128;1000;1,19;107,21;5,97;21,44
256;1000;1,59;170,54;5,98;42,81
512;1000;1,5;340,2;6;85,33
1024;1000;1,73;610,27;6,04;169,46
2048;1000;2,33;878,72;6,13;334,26
4096;1000;3,19;1284,65;6,3;650,6
8192;1000;4,47;1833,2;6,63;1235,03
16384;1000;6,37;2584,31;7,31;2242,02
32768;1000;8,53;3855,43;8,66;3785,13
65536;640;12,49;5298,73;11,36;5771,21
131072;320;18,7;7048,2;16,75;7823,79
262144;160;32,38;8152,01;27,55;9516,03
524288;80;55,4;9508,39;49,14;10669,96
1048576;40;98,5;10701,53;92,32;11358,64
2097152;20;184,89;11395,45;178,67;11737,42
4194304;10;356,05;11835,36;351,39;11936,45
8388608;5;698,09;12057,22;696,81;12038,52
16777216;2;1406,9;12058,95;1387,67;12090,21
33554432;1;2760,6;12154,77;2769,38;12116,22
67108864;1;5584,06;12086,3;5532,8;12129,27
134217728;1;11032,44;12165,74;11059,65;12135,81
268435456;1;22113,81;12142,02;22113,33;12139,08
