X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;0,98;0;1,19;0
1;1000;0,98;1,02;1,19;0,84
2;1000;0,99;2,01;1,19;1,67
4;1000;0,99;4,04;1,19;3,35
8;1000;0,98;8,12;1,2;6,69
16;1000;0,99;16,2;1,2;13,38
32;1000;1;31,85;1,2;26,73
64;1000;1,16;55,04;1,2;53,35
128;1000;1,21;106,14;1,2;106,24
256;1000;1,51;174,33;1,22;210,63
512;1000;1,51;340,34;1,24;414,1
1024;1000;1,65;618,99;1,28;800,95
2048;1000;2,32;882,89;1,36;1503,01
4096;1000;3,2;1278,72;1,53;2675,67
8192;1000;4,49;1825,78;1,87;4387,07
16384;1000;6,32;2591,2;2,54;6449,75
32768;1000;8,51;3852,57;3,89;8432,01
65536;640;12,41;5279,86;6,58;9963,01
131072;320;18,73;6999,19;11,96;10957,83
262144;160;32,6;8041,57;22,73;11533,65
524288;80;54,73;9583,71;44,26;11844,86
1048576;40;97,38;10768,79;87,33;12006,85
2097152;20;183,24;11445,55;173,47;12089,52
4194304;10;352,68;11892,8;345,74;12131,29
8388608;5;693,92;12088,84;690,29;12152,28
16777216;2;1381,27;12146,25;1379,39;12162,8
33554432;1;2759,05;12161,63;2757,58;12168,07
67108864;1;5504,35;12191,98;5513,97;12170,7
134217728;1;11020,83;12178,55;11026,74;12172,02
268435456;1;22049,62;12174,15;22052,29;12172,68
