X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;8,14;0;6,4;0
1;1000;8,2;0,12;6,4;0,16
2;1000;8,21;0,24;6,4;0,31
4;1000;8,21;0,49;6,4;0,63
8;1000;8,21;0,98;6,4;1,25
16;1000;8,21;1,95;6,4;2,5
32;1000;8,22;3,9;6,41;5
64;1000;8,24;7,77;6,41;9,98
128;1000;8,6;14,89;6,43;19,89
256;1000;8,63;29,68;6,47;39,55
512;1000;8,68;59,01;6,55;78,15
1024;1000;9,75;104,99;6,71;152,66
2048;1000;9,21;222,31;7,02;291,74
4096;1000;11,05;370,87;7,64;535,82
8192;1000;11,76;696,99;8,89;921,12
16384;1000;15,85;1033,52;11,39;1438,25
32768;1000;26,11;1255,27;16,39;1999,51
65536;640;57,73;1135,36;26,38;2484,24
131072;320;82,07;1597,31;46,37;2826,89
262144;160;123,97;2114,72;86,34;3036,29
524288;80;197,77;2651,06;166,28;3153,07
1048576;40;330,19;3175,71;326,16;3214,89
2097152;20;625,72;3351,67;645,93;3246,72
4194304;10;1234,67;3397,25;1285,46;3262,87
8388608;5;2448,47;3426,25;2564,53;3271,01
16777216;2;5062,48;3314,11;5122,67;3275,09
33554432;1;10369,41;3236,24;10238,94;3277,14
67108864;1;20460,35;3280,65;20471,48;3278,16
134217728;1;40829,48;3288,23;40936,56;3278,68
268435456;1;81914,94;3278,55;81866,73;3278,93
