X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;0,54;0;-126,09;0
1;1000;0,61;1,64;-126,09;-0,01
2;1000;0,61;3,27;-126,09;-0,02
4;1000;0,61;6,52;-126,09;-0,03
8;1000;0,61;13,1;-126,09;-0,06
16;1000;0,66;24,4;-126,09;-0,13
32;1000;0,74;43,33;-126,08;-0,25
64;1000;0,87;73,75;-126,08;-0,51
128;1000;1,01;126,69;-126,06;-1,02
256;1000;1,18;217,46;-126,03;-2,03
512;1000;1,13;457,33;-125,96;-4,06
1024;1000;1,43;717,4;-125,83;-8,14
2048;1000;1,75;1170,48;-125,57;-16,31
4096;1000;2,76;1487,82;-125,05;-32,75
8192;1000;3,28;2498,49;-124,01;-66,06
16384;1000;3,61;4540,56;-121,92;-134,38
32768;1000;4,93;6654,4;-117,76;-278,27
65536;640;6,38;10299,57;-109,42;-598,92
131072;320;11,25;11677,12;-92,76;-1413,09
262144;160;19,71;13313,42;-59,42;-4411,75
524288;80;40,04;13106,48;7,25;72290,2
1048576;40;95,35;11000,97;140,6;7458,04
2097152;20;214,2;9794,46;407,29;5149,1
4194304;10;408,67;10264,21;940,66;4458,88
8388608;5;896,69;9356,14;2007,42;4178,81
16777216;2;3240,98;5176,9;4140,92;4051,56
33554432;1;8471,01;3961,21;8407,94;3990,8
67108864;1;17062,92;3933,1;16941,97;3961,1
134217728;1;34108,86;3935,1;34010,03;3946,42
268435456;1;68159,32;3938,49;68146,15;3939,11
