X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;0,41;0;-109,38;0
1;1000;0,4;2,47;-109,38;-0,01
2;1000;0,4;4,98;-109,38;-0,02
4;1000;0,4;9,94;-109,38;-0,04
8;1000;0,4;19,85;-109,37;-0,07
16;1000;0,4;39,82;-109,37;-0,15
32;1000;0,56;56,89;-109,37;-0,29
64;1000;0,56;114,91;-109,36;-0,59
128;1000;0,89;144,06;-109,35;-1,17
256;1000;0,93;275,08;-109,33;-2,34
512;1000;1,14;450,06;-109,29;-4,68
1024;1000;1,32;774,86;-109,19;-9,38
2048;1000;2,1;977,41;-109,01;-18,79
4096;1000;3,01;1362,76;-108,65;-37,7
8192;1000;4,78;1714,92;-107,92;-75,91
16384;1000;7,35;2231,62;-106,47;-153,88
32768;1000;12,96;2531,94;-103,57;-316,4
65536;640;23,73;2764,92;-97,75;-670,41
131072;320;43,24;3036,97;-86,13;-1521,72
262144;160;14,31;18399,09;-62,89;-4168,15
524288;80;25,83;20404,51;-16,41;-31952,09
1048576;40;58,07;18100,12;76,56;13696,37
2097152;20;142,85;14692,94;262,49;7989,36
4194304;10;296,98;14126,78;634,36;6611,84
8388608;5;613,76;13669,8;1378,1;6087,08
16777216;2;1918,85;8747,48;2865,58;5854,74
33554432;1;5519,38;6080,31;5840,53;5745,1
67108864;1;11896,37;5641,51;11790,43;5691,81
134217728;1;23776,24;5645,23;23690,24;5665,53
268435456;1;47549,58;5645,67;47489,86;5652,48
