X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;0,41;0;-108,39;0
1;1000;0,4;2,49;-108,39;-0,01
2;1000;0,4;5,01;-108,39;-0,02
4;1000;0,4;9,97;-108,39;-0,04
8;1000;0,4;19,91;-108,39;-0,07
16;1000;0,4;39,95;-108,39;-0,15
32;1000;0,56;56,92;-108,39;-0,3
64;1000;0,56;114,7;-108,38;-0,59
128;1000;0,87;146,8;-108,37;-1,18
256;1000;0,92;278,06;-108,35;-2,36
512;1000;1,13;453,54;-108,3;-4,73
1024;1000;1,32;779,26;-108,21;-9,46
2048;1000;2,1;976,41;-108,03;-18,96
4096;1000;3,01;1360,22;-107,67;-38,04
8192;1000;4,79;1709,65;-106,94;-76,6
16384;1000;7,45;2201,93;-105,48;-155,32
32768;1000;13,02;2520,59;-102,57;-319,46
65536;640;23,68;2770,78;-96,75;-677,35
131072;320;43,17;3039,29;-85,11;-1539,96
262144;160;13,95;18851,17;-61,83;-4239,53
524288;80;25,19;20921,16;-15,27;-34330,37
1048576;40;57,1;18413,52;77,85;13469,03
2097152;20;141,9;14791,55;264,1;7940,86
4194304;10;297,27;14112,73;636,59;6588,73
8388608;5;618,1;13574,07;1381,57;6071,8
16777216;2;1918,32;8748,29;2871,53;5842,6
33554432;1;5554,09;6042,3;5851,46;5734,37
67108864;1;11922,33;5629,22;11811,31;5681,74
134217728;1;23835,45;5631,3;23731,02;5655,79
268435456;1;47617,14;5637,7;47570,44;5642,91
