X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;0,41;0;-109,05;0
1;1000;0,4;2,51;-109,05;-0,01
2;1000;0,4;5,04;-109,05;-0,02
4;1000;0,4;10,05;-109,05;-0,04
8;1000;0,4;20,07;-109,05;-0,07
16;1000;0,4;40,2;-109,05;-0,15
32;1000;0,56;56,88;-109,05;-0,29
64;1000;0,56;114,45;-109,04;-0,59
128;1000;0,89;143,55;-109,03;-1,17
256;1000;0,95;269,75;-109,01;-2,35
512;1000;1,15;445,13;-108,96;-4,7
1024;1000;1,33;771,09;-108,87;-9,41
2048;1000;2,11;972,1;-108,69;-18,84
4096;1000;3,03;1354,12;-108,32;-37,81
8192;1000;4,82;1700,82;-107,59;-76,14
16384;1000;7,48;2192,54;-106,14;-154,37
32768;1000;13,1;2504,9;-103,22;-317,46
65536;640;23,8;2757,59;-97,39;-672,93
131072;320;43,63;3009,58;-85,73;-1528,96
262144;160;14,11;18642,33;-62,4;-4200,91
524288;80;25,91;20350,81;-15,75;-33282,59
1048576;40;58,14;18075,48;77,55;13522,04
2097152;20;142,91;14685,34;264,14;7939,48
4194304;10;299,2;14022,98;637,34;6581
8388608;5;620,07;13530,33;1383,72;6062,35
16777216;2;1924,6;8718,74;2876,49;5832,52
33554432;1;5562,77;6032,93;5862,04;5724,02
67108864;1;11918,56;5630,97;11833,13;5671,27
134217728;1;23882,17;5620,37;23775,31;5645,26
268435456;1;47711,69;5626,62;47659,67;5632,34
