X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;7,94;0;3,31;0
1;1000;8;0,13;3,31;0,3
2;1000;8,01;0,25;3,31;0,6
4;1000;8,01;0,5;3,31;1,21
8;1000;8;1;3,31;2,41
16;1000;8,01;2;3,32;4,82
32;1000;8,01;4;3,32;9,63
64;1000;8,03;7,97;3,33;19,21
128;1000;8,43;15,18;3,35;38,19
256;1000;8,46;30,27;3,39;75,51
512;1000;8,51;60,2;3,47;147,63
1024;1000;9,51;107,68;3,62;282,59
2048;1000;9,03;226,8;3,93;520,5
4096;1000;10,79;379,75;4,56;898,86
8192;1000;11,56;708,68;5,8;1412,11
16384;1000;15,53;1055,11;8,29;1976,36
32768;1000;25,83;1268,77;13,27;2469,81
65536;640;56,48;1160,36;23,22;2822,11
131072;320;77,38;1694,11;43,13;3038,84
262144;160;111,53;2350,56;82,95;3160,19
524288;80;172,9;3032,5;162,59;3224,57
1048576;40;307,29;3412,45;321,87;3257,76
2097152;20;600,12;3494,65;640,43;3274,61
4194304;10;1225,41;3422,94;1277,54;3283,1
8388608;5;2421,91;3463,79;2551,78;3287,36
16777216;2;5041,76;3327,72;5100,24;3289,5
33554432;1;10321,33;3251,12;10197,17;3290,56
67108864;1;20390,84;3291,51;20391,02;3291,1
134217728;1;40731,19;3296,07;40778,74;3291,37
268435456;1;81571,28;3291,8;81554,16;3291,5
