X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;0,54;0;-124,63;0
1;1000;0,61;1,63;-124,63;-0,01
2;1000;0,62;3,25;-124,63;-0,02
4;1000;0,62;6,51;-124,63;-0,03
8;1000;0,61;13,03;-124,63;-0,06
16;1000;0,65;24,61;-124,62;-0,13
32;1000;0,68;46,83;-124,62;-0,26
64;1000;0,85;75,41;-124,61;-0,51
128;1000;1,03;124,67;-124,6;-1,03
256;1000;1,17;219,96;-124,56;-2,06
512;1000;1,12;458,17;-124,5;-4,11
1024;1000;1,43;716,32;-124,37;-8,23
2048;1000;1,74;1182,5;-124,11;-16,5
4096;1000;2,77;1482,07;-123,59;-33,14
8192;1000;3,28;2502,75;-122,55;-66,85
16384;1000;3,61;4546,65;-120,48;-135,99
32768;1000;4,89;6714,89;-116,32;-281,7
65536;640;6,38;10287,56;-108,02;-606,71
131072;320;11,1;11835,12;-91,41;-1433,93
262144;160;19,65;13350,65;-58,19;-4505,14
524288;80;39,92;13141,99;8,25;63530,53
1048576;40;95,78;10952,25;141,13;7429,7
2097152;20;214,92;9760,99;406,89;5154,05
4194304;10;409,07;10254,08;938,42;4469,56
8388608;5;896,06;9364,38;2001,46;4191,24
16777216;2;3231,25;5193,13;4127,55;4064,69
33554432;1;8453,69;3969,27;8379,72;4004,24
67108864;1;17019,65;3943,06;16884,08;3974,68
134217728;1;33986,83;3949,16;33892,78;3960,07
268435456;1;67920,29;3952,28;67910,19;3952,8
