X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;0,41;0;-109,04;0
1;1000;0,4;2,5;-109,04;-0,01
2;1000;0,4;5,02;-109,04;-0,02
4;1000;0,4;10,02;-109,04;-0,04
8;1000;0,4;19,99;-109,04;-0,07
16;1000;0,4;40,01;-109,04;-0,15
32;1000;0,56;57,02;-109,04;-0,29
64;1000;0,56;114,88;-109,03;-0,59
128;1000;0,89;143,54;-109,02;-1,17
256;1000;0,93;274,82;-109;-2,35
512;1000;1,13;452,79;-108,95;-4,7
1024;1000;1,33;768,25;-108,86;-9,41
2048;1000;2,1;977,06;-108,68;-18,84
4096;1000;3;1363,45;-108,32;-37,81
8192;1000;4,78;1715,43;-107,59;-76,14
16384;1000;7,33;2236,6;-106,14;-154,36
32768;1000;12,95;2532,9;-103,23;-317,41
65536;640;23,7;2767,46;-97,43;-672,68
131072;320;43,18;3039,83;-85,81;-1527,5
262144;160;14,1;18652,63;-62,57;-4189,43
524288;80;25,36;20778,33;-16,1;-32560,63
1048576;40;57,39;18310,38;76,84;13646,28
2097152;20;142,07;14774,9;262,72;7982,37
4194304;10;297,21;14115,09;634,49;6610,52
8388608;5;613,17;13682,53;1378,02;6087,43
16777216;2;1922,64;8727,92;2865,09;5855,74
33554432;1;5520,79;6078,62;5839,22;5746,39
67108864;1;11871,67;5653,24;11787,48;5693,23
134217728;1;23810,01;5637,23;23684;5667,02
268435456;1;47521,61;5648,9;47477,05;5654,01
