X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;0,4;0;-107,44;0
1;1000;0,4;2,5;-107,44;-0,01
2;1000;0,4;5,03;-107,44;-0,02
4;1000;0,4;10,06;-107,44;-0,04
8;1000;0,4;20;-107,44;-0,07
16;1000;0,4;40,11;-107,44;-0,15
32;1000;0,56;56,84;-107,44;-0,3
64;1000;0,56;114,17;-107,43;-0,6
128;1000;0,87;146,51;-107,42;-1,19
256;1000;0,92;278,12;-107,4;-2,38
512;1000;1,11;459,74;-107,35;-4,77
1024;1000;1,31;779,62;-107,26;-9,55
2048;1000;2,09;978,23;-107,08;-19,13
4096;1000;3;1363,62;-106,72;-38,38
8192;1000;4,8;1708,92;-105,99;-77,29
16384;1000;7,39;2220,17;-104,54;-156,72
32768;1000;12,95;2532,36;-101,64;-322,4
65536;640;23,59;2780,97;-95,84;-683,84
131072;320;42,92;3057,43;-84,23;-1556,14
262144;160;14,01;18774,91;-61,02;-4296,34
524288;80;25,33;20791,8;-14,59;-35937,62
1048576;40;57,42;18303,52;78,26;13397,78
2097152;20;142,06;14777,09;263,97;7944,59
4194304;10;297,56;14099,32;635,39;6601,18
8388608;5;618,71;13560,75;1378,22;6086,56
16777216;2;1913,74;8768,75;2863,88;5858,22
33554432;1;5548,54;6048,62;5835,2;5750,35
67108864;1;11885,14;5646,88;11777,84;5697,89
134217728;1;23777,12;5645,1;23663,12;5672,02
268435456;1;47474,85;5654,55;47433,68;5659,17
