X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;0,4;0;-107,82;0
1;1000;0,4;2,51;-107,82;-0,01
2;1000;0,4;5,06;-107,82;-0,02
4;1000;0,4;10,08;-107,82;-0,04
8;1000;0,4;20,14;-107,82;-0,07
16;1000;0,4;40,26;-107,81;-0,15
32;1000;0,56;56,93;-107,81;-0,3
64;1000;0,56;114,44;-107,81;-0,59
128;1000;0,89;143,85;-107,79;-1,19
256;1000;0,94;271,35;-107,77;-2,38
512;1000;1,15;446,98;-107,73;-4,75
1024;1000;1,32;775,7;-107,64;-9,51
2048;1000;2,1;974,37;-107,45;-19,06
4096;1000;3,02;1355,89;-107,09;-38,25
8192;1000;4,79;1709,32;-106,37;-77,02
16384;1000;7,4;2216,71;-104,92;-156,16
32768;1000;13,03;2519,48;-102,01;-321,21
65536;640;23,7;2768,92;-96,21;-681,18
131072;320;43,86;2995,1;-84,6;-1549,28
262144;160;14,17;18569,81;-61,39;-4270,44
524288;80;25,91;20344,03;-14,95;-35060,26
1048576;40;58,4;17996,96;77,91;13458,85
2097152;20;143,99;14575,51;263,64;7954,69
4194304;10;300,21;13974,2;635,09;6604,25
8388608;5;621,03;13509,45;1378;6087,52
16777216;2;1916,33;8756,77;2863,82;5858,33
33554432;1;5539,05;6058,83;5835,46;5750,09
67108864;1;11876,9;5650,71;11778,73;5697,46
134217728;1;23767,57;5647,24;23665,28;5671,5
268435456;1;47488,6;5652,8;47438,38;5658,61
