X.bytes;X.repetitions;t.usec.;Mbytes.sec;V5;V6
0;1000;0,4;0;0,66;0
1;1000;0,4;2,52;0,66;1,51
2;1000;0,4;5,06;0,66;3,02
4;1000;0,4;10,11;0,66;6,03
8;1000;0,4;20,12;0,66;12,05
16;1000;0,4;40,31;0,67;24,06
32;1000;0,56;57,28;0,67;47,91
64;1000;0,55;115,36;0,67;95,02
128;1000;0,89;144,25;0,68;186,89
256;1000;0,93;275,07;0,71;361,8
512;1000;1,12;456,49;0,75;680
1024;1000;1,31;783,14;0,84;1213,73
2048;1000;2,1;976,31;1,03;1997,77
4096;1000;3;1365,97;1,39;2950,86
8192;1000;4,84;1694,12;2,11;3875,26
16384;1000;7,43;2209,92;3,57;4594,97
32768;1000;13,31;2465,08;6,47;5065,34
65536;640;24,97;2627,86;12,28;5338,59
131072;320;46,98;2792,91;23,89;5486,57
262144;160;14,13;18618,38;47,12;5563,68
524288;80;25,1;20979,38;93,57;5603,06
1048576;40;53,4;19667,82;186,48;5622,95
2097152;20;141,99;14777,31;372,3;5632,95
4194304;10;293,39;14300,74;743,94;5637,97
8388608;5;607,98;13799,25;1487,22;5640,48
16777216;2;1892,44;8870,14;2973,77;5641,74
33554432;1;5487,34;6115,6;5946,88;5642,36
67108864;1;11798,15;5688,59;11893,09;5642,68
134217728;1;23617,95;5683,18;23785,51;5642,83
268435456;1;47243,78;5682,25;47570,37;5642,91
