#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.18,0.00
1,1000,5.24,0.19
2,1000,5.24,0.38
4,1000,5.23,0.76
8,1000,5.24,1.53
16,1000,5.24,3.06
32,1000,5.25,6.10
64,1000,5.25,12.18
128,1000,5.30,24.14
256,1000,5.33,48.01
512,1000,5.35,95.72
1024,1000,5.94,172.42
2048,1000,5.78,354.63
4096,1000,6.68,613.19
8192,1000,7.18,1140.52
16384,1000,9.20,1781.74
32768,1000,15.33,2138.12
65536,640,29.16,2247.42
131072,320,41.23,3179.35
262144,160,60.65,4322.35
524288,80,95.84,5470.45
1048576,40,161.32,6499.77
2097152,20,312.47,6711.64
4194304,10,609.29,6883.96
8388608,5,1453.81,5770.10
16777216,2,3165.73,5299.63
33554432,1,6340.08,5292.43
67108864,1,12751.44,5262.85
134217728,1,25169.86,5332.48
268435456,1,50303.28,5336.34
