#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.28,3.61
2,1000,0.28,7.19
4,1000,0.28,14.18
8,1000,0.28,28.55
16,1000,0.30,53.06
32,1000,0.30,107.15
64,1000,0.35,182.40
128,1000,0.39,324.96
256,1000,0.45,563.86
512,1000,0.63,813.78
1024,1000,0.72,1417.66
2048,1000,0.88,2326.63
4096,1000,1.80,2281.74
8192,1000,2.14,3828.37
16384,1000,2.68,6107.90
32768,1000,4.03,8125.87
65536,640,5.55,11798.76
131072,320,10.72,12230.39
262144,160,19.49,13447.10
524288,80,40.47,12954.98
1048576,40,98.95,10597.38
2097152,20,217.77,9629.98
4194304,10,489.71,8564.81
8388608,5,1526.20,5496.41
16777216,2,3724.44,4504.63
33554432,1,7503.16,4472.04
67108864,1,14902.72,4503.13
134217728,1,29911.03,4487.23
268435456,1,59691.21,4497.07
