#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.21,4.81
2,1000,0.19,10.37
4,1000,0.19,20.54
8,1000,0.19,41.63
16,1000,0.19,83.60
32,1000,0.23,141.55
64,1000,0.22,286.75
128,1000,0.31,408.30
256,1000,0.32,790.80
512,1000,0.37,1383.56
1024,1000,0.50,2036.15
2048,1000,0.74,2750.70
4096,1000,1.12,3662.63
8192,1000,1.86,4407.29
16384,1000,2.94,5570.77
32768,1000,4.73,6923.50
65536,640,8.42,7782.12
131072,320,14.97,8752.76
262144,160,13.70,19130.46
524288,80,25.93,20223.10
1048576,40,63.25,16577.14
2097152,20,143.28,14637.18
4194304,10,313.90,13361.91
8388608,5,856.53,9793.68
16777216,2,2314.81,7247.77
33554432,1,5207.88,6443.01
67108864,1,10401.90,6451.60
134217728,1,20779.97,6459.00
268435456,1,41624.65,6448.95
