#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.19,5.25
2,1000,0.18,10.85
4,1000,0.19,21.47
8,1000,0.18,43.85
16,1000,0.18,87.44
32,1000,0.22,144.26
64,1000,0.22,288.61
128,1000,0.31,418.97
256,1000,0.33,772.09
512,1000,0.38,1346.57
1024,1000,0.50,2050.19
2048,1000,0.74,2759.75
4096,1000,1.11,3683.76
8192,1000,1.86,4414.44
16384,1000,2.94,5567.97
32768,1000,4.73,6922.54
65536,640,8.08,8115.07
131072,320,14.52,9026.47
262144,160,12.54,20896.83
524288,80,23.80,22029.37
1048576,40,57.71,18168.77
2097152,20,142.73,14693.37
4194304,10,318.62,13164.02
8388608,5,897.25,9349.22
16777216,2,2301.57,7289.48
33554432,1,5218.70,6429.66
67108864,1,10463.29,6413.75
134217728,1,20914.76,6417.37
268435456,1,41685.40,6439.56
