#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.21,0.00
1,1000,0.21,4.69
2,1000,0.20,9.84
4,1000,0.21,19.48
8,1000,0.21,38.41
16,1000,0.20,81.34
32,1000,0.22,144.29
64,1000,0.22,288.54
128,1000,0.32,398.20
256,1000,0.32,787.75
512,1000,0.39,1322.21
1024,1000,0.49,2073.21
2048,1000,0.74,2755.72
4096,1000,1.12,3667.62
8192,1000,1.86,4411.62
16384,1000,2.92,5603.63
32768,1000,4.98,6575.30
65536,640,8.36,7842.23
131072,320,15.14,8655.84
262144,160,13.66,19193.56
524288,80,26.35,19900.54
1048576,40,60.79,17249.72
2097152,20,144.30,14533.73
4194304,10,330.38,12695.46
8388608,5,889.86,9426.87
16777216,2,2289.27,7328.63
33554432,1,5240.79,6402.55
67108864,1,10466.03,6412.06
134217728,1,20892.59,6424.18
268435456,1,41689.87,6438.87
