#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.39,0.00
1,1000,5.53,0.18
2,1000,5.54,0.36
4,1000,5.50,0.73
8,1000,5.51,1.45
16,1000,5.49,2.91
32,1000,5.51,5.81
64,1000,5.54,11.55
128,1000,5.60,22.86
256,1000,5.65,45.31
512,1000,5.69,89.91
1024,1000,6.23,164.30
2048,1000,6.06,338.11
4096,1000,6.99,585.64
8192,1000,7.47,1095.97
16384,1000,9.66,1696.81
32768,1000,15.69,2088.58
65536,640,29.67,2209.04
131072,320,39.96,3280.05
262144,160,54.78,4785.16
524288,80,88.01,5957.04
1048576,40,150.71,6957.41
2097152,20,290.61,7216.26
4194304,10,601.98,6967.49
8388608,5,1469.13,5709.91
16777216,2,3181.40,5273.53
33554432,1,6410.49,5234.30
67108864,1,12716.52,5277.30
134217728,1,25209.23,5324.15
268435456,1,50107.33,5357.21
