#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.28,3.58
2,1000,0.28,7.09
4,1000,0.28,14.22
8,1000,0.28,28.39
16,1000,0.30,53.90
32,1000,0.31,103.67
64,1000,0.33,195.12
128,1000,0.38,335.44
256,1000,0.45,572.45
512,1000,0.61,846.05
1024,1000,0.69,1486.27
2048,1000,0.88,2337.85
4096,1000,1.78,2294.83
8192,1000,2.12,3867.33
16384,1000,2.65,6173.40
32768,1000,3.79,8653.56
65536,640,5.50,11918.89
131072,320,10.54,12439.21
262144,160,19.31,13574.56
524288,80,41.00,12787.45
1048576,40,100.35,10449.26
2097152,20,216.64,9680.32
4194304,10,490.14,8557.28
8388608,5,1522.93,5508.21
16777216,2,3723.55,4505.70
33554432,1,7500.43,4473.67
67108864,1,14982.18,4479.25
134217728,1,29874.38,4492.74
268435456,1,59623.49,4502.18
