#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,5.10
2,1000,0.20,10.18
4,1000,0.20,20.41
8,1000,0.19,41.04
16,1000,0.19,82.17
32,1000,0.22,144.31
64,1000,0.22,288.72
128,1000,0.31,408.06
256,1000,0.33,780.81
512,1000,0.39,1301.54
1024,1000,0.49,2085.40
2048,1000,0.74,2764.00
4096,1000,1.12,3671.86
8192,1000,1.86,4415.22
16384,1000,2.95,5552.71
32768,1000,4.75,6905.10
65536,640,8.06,8134.64
131072,320,14.45,9070.71
262144,160,12.62,20779.83
524288,80,23.88,21954.01
1048576,40,58.80,17831.48
2097152,20,137.51,15250.94
4194304,10,319.22,13139.41
8388608,5,893.01,9393.62
16777216,2,2301.13,7290.85
33554432,1,5210.41,6439.88
67108864,1,10419.49,6440.71
134217728,1,20822.31,6445.86
268435456,1,41604.19,6452.13
