#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.19,0.00
1,1000,0.19,5.19
2,1000,0.19,10.26
4,1000,0.18,21.88
8,1000,0.18,43.66
16,1000,0.18,87.42
32,1000,0.22,144.04
64,1000,0.22,291.26
128,1000,0.31,416.08
256,1000,0.33,775.52
512,1000,0.38,1339.90
1024,1000,0.49,2089.12
2048,1000,0.74,2755.94
4096,1000,1.11,3676.19
8192,1000,1.88,4366.91
16384,1000,2.97,5518.44
32768,1000,5.00,6549.18
65536,640,8.34,7860.43
131072,320,15.11,8673.57
262144,160,13.71,19124.28
524288,80,25.84,20288.77
1048576,40,61.71,16993.32
2097152,20,151.18,13871.48
4194304,10,331.11,12667.26
8388608,5,903.71,9282.44
16777216,2,2288.04,7332.59
33554432,1,5234.03,6410.83
67108864,1,10448.70,6422.70
134217728,1,20895.55,6423.27
268435456,1,41632.45,6447.75
