#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.19,0.00
1,1000,0.19,5.32
2,1000,0.20,9.98
4,1000,0.20,19.64
8,1000,0.19,42.93
16,1000,0.19,83.88
32,1000,0.22,145.11
64,1000,0.22,293.29
128,1000,0.31,414.41
256,1000,0.34,761.95
512,1000,0.39,1317.05
1024,1000,0.49,2085.54
2048,1000,0.75,2746.69
4096,1000,1.12,3671.10
8192,1000,1.86,4398.47
16384,1000,2.94,5580.99
32768,1000,4.73,6932.14
65536,640,8.36,7837.48
131072,320,15.14,8657.44
262144,160,13.55,19341.47
524288,80,28.83,18183.53
1048576,40,64.37,16289.91
2097152,20,149.93,13987.32
4194304,10,314.84,13322.05
8388608,5,885.28,9475.68
16777216,2,2278.20,7364.23
33554432,1,5222.48,6425.00
67108864,1,10408.07,6447.77
134217728,1,20832.64,6442.66
268435456,1,41576.93,6456.36
