#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.76,0.00
1,1000,15.80,0.06
2,1000,15.82,0.13
4,1000,15.81,0.25
8,1000,15.83,0.51
16,1000,15.89,1.01
32,1000,15.91,2.01
64,1000,16.05,3.99
128,1000,16.66,7.68
256,1000,16.67,15.35
512,1000,16.86,30.36
1024,1000,17.48,58.59
2048,1000,38.79,52.79
4096,1000,39.42,103.90
8192,1000,40.15,204.02
16384,1000,42.14,388.80
32768,1000,50.48,649.14
65536,640,63.42,1033.37
131072,320,115.85,1131.44
262144,160,175.41,1494.47
524288,80,257.49,2036.13
1048576,40,419.92,2497.07
2097152,20,764.55,2742.98
4194304,10,1563.86,2682.02
8388608,5,3321.66,2525.42
16777216,2,7113.02,2358.66
33554432,1,13814.34,2428.96
67108864,1,27811.19,2413.02
134217728,1,55612.05,2413.46
268435456,1,107232.02,2503.31
