#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.99,1.01
2,1000,1.01,1.98
4,1000,1.00,3.99
8,1000,1.00,8.03
16,1000,1.00,16.02
32,1000,1.01,31.70
64,1000,1.14,55.92
128,1000,1.21,106.21
256,1000,1.43,178.55
512,1000,1.51,339.85
1024,1000,1.66,615.68
2048,1000,2.33,878.43
4096,1000,3.17,1293.04
8192,1000,4.45,1842.65
16384,1000,6.24,2627.15
32768,1000,8.54,3837.33
65536,640,12.30,5329.35
131072,320,18.56,7063.87
262144,160,31.99,8194.42
524288,80,54.27,9660.22
1048576,40,97.17,10790.92
2097152,20,186.00,11275.12
4194304,10,352.23,11907.99
8388608,5,693.46,12096.80
16777216,2,1381.61,12143.24
33554432,1,2765.45,12133.46
67108864,1,5522.31,12152.32
134217728,1,11035.32,12162.56
268435456,1,22061.74,12167.47
