#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.99,1.01
2,1000,1.00,2.00
4,1000,1.00,4.01
8,1000,0.99,8.09
16,1000,0.99,16.16
32,1000,1.01,31.54
64,1000,1.15,55.87
128,1000,1.19,107.62
256,1000,1.43,178.48
512,1000,1.50,340.55
1024,1000,1.67,614.40
2048,1000,2.32,881.82
4096,1000,3.18,1286.98
8192,1000,4.49,1826.40
16384,1000,6.31,2596.69
32768,1000,8.41,3895.55
65536,640,12.27,5341.79
131072,320,18.47,7094.77
262144,160,31.92,8213.41
524288,80,54.24,9665.31
1048576,40,96.90,10820.82
2097152,20,185.95,11277.93
4194304,10,352.18,11909.47
8388608,5,692.70,12109.93
16777216,2,1381.45,12144.60
33554432,1,2762.13,12148.03
67108864,1,5531.30,12132.56
134217728,1,11030.95,12167.38
268435456,1,22078.79,12158.07
