#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.99,1.01
2,1000,1.00,1.99
4,1000,1.00,4.00
8,1000,0.99,8.05
16,1000,1.00,16.04
32,1000,1.01,31.68
64,1000,1.15,55.84
128,1000,1.19,107.64
256,1000,1.43,178.43
512,1000,1.50,341.65
1024,1000,1.67,612.17
2048,1000,2.33,878.90
4096,1000,3.17,1290.84
8192,1000,4.44,1844.61
16384,1000,6.22,2633.74
32768,1000,8.38,3912.13
65536,640,12.30,5329.94
131072,320,18.50,7084.34
262144,160,31.93,8210.66
524288,80,54.26,9662.02
1048576,40,97.00,10810.51
2097152,20,185.43,11309.76
4194304,10,352.11,11911.87
8388608,5,692.39,12115.49
16777216,2,1381.24,12146.50
33554432,1,2754.01,12183.87
67108864,1,5526.99,12142.03
134217728,1,11039.45,12158.01
268435456,1,22065.67,12165.30
