#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.77,0.00
1,1000,16.84,0.06
2,1000,16.80,0.12
4,1000,16.74,0.24
8,1000,16.81,0.48
16,1000,16.91,0.95
32,1000,16.83,1.90
64,1000,16.97,3.77
128,1000,17.56,7.29
256,1000,17.53,14.60
512,1000,17.96,28.50
1024,1000,18.46,55.47
2048,1000,40.16,51.00
4096,1000,40.45,101.26
8192,1000,41.78,196.06
16384,1000,44.44,368.65
32768,1000,54.41,602.28
65536,640,147.05,445.67
131072,320,171.46,764.43
262144,160,228.80,1145.76
524288,80,333.20,1573.47
1048576,40,548.13,1912.99
2097152,20,1001.67,2093.65
4194304,10,2014.52,2082.04
8388608,5,4315.06,1944.03
16777216,2,8442.81,1987.16
33554432,1,16857.06,1990.53
67108864,1,33176.25,2022.80
134217728,1,66061.45,2031.71
268435456,1,131886.01,2035.36
