#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.99,1.01
2,1000,1.00,2.00
4,1000,1.00,4.01
8,1000,0.99,8.08
16,1000,0.99,16.13
32,1000,1.02,31.52
64,1000,1.15,55.86
128,1000,1.20,107.06
256,1000,1.44,178.16
512,1000,1.50,340.43
1024,1000,1.66,615.34
2048,1000,2.33,879.12
4096,1000,3.17,1290.18
8192,1000,4.46,1835.41
16384,1000,6.24,2624.91
32768,1000,8.39,3904.72
65536,640,12.23,5358.19
131072,320,18.38,7130.20
262144,160,31.96,8202.09
524288,80,54.29,9656.62
1048576,40,98.10,10688.47
2097152,20,182.32,11502.75
4194304,10,353.38,11868.94
8388608,5,692.27,12117.60
16777216,2,1381.30,12145.94
33554432,1,2754.42,12182.03
67108864,1,5517.72,12162.43
134217728,1,11032.85,12165.28
268435456,1,22074.61,12160.37
