#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.99,1.01
2,1000,1.00,2.00
4,1000,1.00,4.00
8,1000,0.99,8.08
16,1000,1.00,16.07
32,1000,1.00,31.84
64,1000,1.14,56.00
128,1000,1.19,107.15
256,1000,1.43,178.76
512,1000,1.50,340.47
1024,1000,1.67,613.92
2048,1000,2.32,882.59
4096,1000,3.18,1286.94
8192,1000,4.45,1841.67
16384,1000,6.25,2622.10
32768,1000,8.35,3925.57
65536,640,12.25,5348.87
131072,320,18.50,7086.36
262144,160,31.94,8207.59
524288,80,54.05,9700.33
1048576,40,97.16,10791.76
2097152,20,182.43,11495.92
4194304,10,352.57,11896.47
8388608,5,691.64,12128.60
16777216,2,1381.37,12145.33
33554432,1,2764.66,12136.92
67108864,1,5527.20,12141.56
134217728,1,11042.51,12154.64
268435456,1,22078.06,12158.47
