#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.99,1.01
2,1000,1.00,1.99
4,1000,1.00,4.00
8,1000,0.99,8.07
16,1000,1.00,16.04
32,1000,1.02,31.25
64,1000,1.15,55.83
128,1000,1.19,107.58
256,1000,1.44,178.10
512,1000,1.51,338.75
1024,1000,1.66,615.42
2048,1000,2.33,880.72
4096,1000,3.17,1293.21
8192,1000,4.43,1849.15
16384,1000,6.23,2629.65
32768,1000,8.39,3905.23
65536,640,12.24,5354.15
131072,320,18.41,7119.92
262144,160,31.98,8196.58
524288,80,54.28,9659.19
1048576,40,96.94,10817.06
2097152,20,186.02,11273.54
4194304,10,351.87,11920.04
8388608,5,694.69,12075.28
16777216,2,1381.33,12145.73
33554432,1,2762.04,12148.42
67108864,1,5526.80,12142.44
134217728,1,11045.19,12151.70
268435456,1,22068.99,12163.47
