#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.15,0.00
1,1000,8.17,0.12
2,1000,8.17,0.24
4,1000,8.20,0.49
8,1000,8.16,0.98
16,1000,8.19,1.95
32,1000,8.17,3.92
64,1000,8.19,7.81
128,1000,8.61,14.86
256,1000,8.64,29.64
512,1000,8.72,58.69
1024,1000,9.64,106.28
2048,1000,9.22,222.11
4096,1000,10.94,374.24
8192,1000,11.71,699.32
16384,1000,15.70,1043.78
32768,1000,26.05,1257.85
65536,640,57.82,1133.45
131072,320,81.69,1604.55
262144,160,124.14,2111.68
524288,80,197.84,2650.02
1048576,40,330.68,3171.02
2097152,20,627.53,3341.90
4194304,10,1243.50,3372.98
8388608,5,2462.44,3406.62
16777216,2,5063.32,3313.48
33554432,1,10358.49,3239.32
67108864,1,20194.25,3323.17
134217728,1,40413.96,3321.07
268435456,1,80429.76,3337.51
