#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.53,0.00
1,1000,0.60,1.68
2,1000,0.59,3.40
4,1000,0.59,6.76
8,1000,0.60,13.37
16,1000,0.59,27.09
32,1000,0.68,47.14
64,1000,0.88,72.66
128,1000,1.04,123.17
256,1000,1.22,210.08
512,1000,1.25,411.13
1024,1000,1.40,731.60
2048,1000,1.64,1246.16
4096,1000,2.77,1477.23
8192,1000,3.24,2527.11
16384,1000,3.40,4823.23
32768,1000,5.08,6445.08
65536,640,6.24,10508.86
131072,320,10.45,12546.54
262144,160,18.20,14403.58
524288,80,38.22,13718.49
1048576,40,93.36,11232.09
2097152,20,209.57,10007.00
4194304,10,421.59,9948.78
8388608,5,896.45,9357.58
16777216,2,3242.53,5174.12
33554432,1,8476.97,3958.30
67108864,1,17012.28,3944.73
134217728,1,34041.79,3942.73
268435456,1,68045.23,3944.96
