#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.42,2.40
2,1000,0.40,4.96
4,1000,0.40,9.88
8,1000,0.41,19.44
16,1000,0.40,39.54
32,1000,0.56,56.83
64,1000,0.56,114.12
128,1000,0.89,143.37
256,1000,0.96,268.03
512,1000,1.16,440.21
1024,1000,1.33,769.15
2048,1000,2.12,967.54
4096,1000,3.02,1355.03
8192,1000,4.82,1698.66
16384,1000,7.34,2233.55
32768,1000,12.97,2526.92
65536,640,25.21,2599.88
131072,320,43.49,3013.60
262144,160,14.69,17839.57
524288,80,26.15,20047.37
1048576,40,59.27,17691.49
2097152,20,144.43,14520.55
4194304,10,299.63,13998.18
8388608,5,621.54,13496.58
16777216,2,1978.97,8477.74
33554432,1,5640.86,5948.46
67108864,1,12124.17,5535.13
134217728,1,23937.38,5607.03
268435456,1,47616.94,5637.39
