#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.41,2.45
2,1000,0.40,5.01
4,1000,0.40,10.07
8,1000,0.40,20.09
16,1000,0.40,40.19
32,1000,0.56,56.84
64,1000,0.57,113.22
128,1000,0.87,146.57
256,1000,0.92,277.67
512,1000,1.16,442.92
1024,1000,1.35,761.31
2048,1000,2.11,970.65
4096,1000,2.99,1367.74
8192,1000,4.77,1718.08
16384,1000,7.28,2250.28
32768,1000,12.95,2531.03
65536,640,22.98,2851.84
131072,320,42.02,3119.46
262144,160,13.13,19964.19
524288,80,23.22,22576.61
1048576,40,54.00,19417.40
2097152,20,139.12,15074.82
4194304,10,299.32,14012.70
8388608,5,622.92,13466.58
16777216,2,1920.82,8734.42
33554432,1,5557.30,6037.91
67108864,1,11918.13,5630.82
134217728,1,23835.48,5631.01
268435456,1,47568.41,5643.15
