#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.39,2.56
2,1000,0.39,5.07
4,1000,0.40,9.90
8,1000,0.39,20.44
16,1000,0.39,40.56
32,1000,0.56,56.86
64,1000,0.56,115.06
128,1000,0.89,143.39
256,1000,0.96,266.86
512,1000,1.16,441.63
1024,1000,1.34,763.89
2048,1000,2.09,978.71
4096,1000,2.99,1367.79
8192,1000,4.77,1718.48
16384,1000,7.18,2282.51
32768,1000,12.71,2577.42
65536,640,23.03,2845.85
131072,320,42.10,3113.71
262144,160,13.21,19849.39
524288,80,23.37,22435.27
1048576,40,53.59,19566.27
2097152,20,139.23,15062.94
4194304,10,301.21,13924.81
8388608,5,621.91,13488.47
16777216,2,1924.66,8716.98
33554432,1,5426.77,6183.13
67108864,1,11969.30,5606.75
134217728,1,23767.05,5647.22
268435456,1,47410.72,5661.91
