#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.97,0.00
1,1000,8.03,0.12
2,1000,8.07,0.25
4,1000,8.10,0.49
8,1000,8.05,0.99
16,1000,8.02,1.99
32,1000,8.08,3.96
64,1000,8.04,7.96
128,1000,8.50,15.05
256,1000,8.51,30.09
512,1000,8.59,59.58
1024,1000,9.56,107.12
2048,1000,9.15,223.89
4096,1000,10.85,377.53
8192,1000,11.64,704.02
16384,1000,15.68,1044.80
32768,1000,25.70,1275.25
65536,640,56.44,1161.26
131072,320,77.63,1688.52
262144,160,111.70,2346.79
524288,80,174.53,3003.97
1048576,40,307.37,3411.41
2097152,20,596.56,3515.39
4194304,10,1223.68,3427.61
8388608,5,2429.88,3452.28
16777216,2,5022.55,3340.38
33554432,1,10213.45,3285.32
67108864,1,20161.47,3328.57
134217728,1,40247.89,3334.78
268435456,1,80496.85,3334.73
