#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.53,0.00
1,1000,0.63,1.60
2,1000,0.63,3.15
4,1000,0.63,6.38
8,1000,0.63,12.71
16,1000,0.71,22.58
32,1000,0.69,46.19
64,1000,0.87,73.67
128,1000,1.08,118.66
256,1000,1.19,215.05
512,1000,1.09,470.75
1024,1000,1.55,662.25
2048,1000,1.65,1240.66
4096,1000,2.69,1524.52
8192,1000,3.41,2404.95
16384,1000,3.51,4665.08
32768,1000,4.95,6625.73
65536,640,6.23,10523.41
131072,320,11.26,11644.44
262144,160,19.95,13140.85
524288,80,41.88,12519.68
1048576,40,97.90,10710.56
2097152,20,216.03,9707.88
4194304,10,409.29,10247.68
8388608,5,898.88,9332.31
16777216,2,3672.89,4567.85
33554432,1,8459.40,3966.53
67108864,1,17023.19,3942.20
134217728,1,34038.39,3943.13
268435456,1,67955.17,3950.18
