#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.40,2.50
2,1000,0.40,5.02
4,1000,0.40,10.03
8,1000,0.41,19.57
16,1000,0.41,39.14
32,1000,0.56,56.81
64,1000,0.55,115.86
128,1000,0.90,141.99
256,1000,0.93,274.34
512,1000,1.15,443.72
1024,1000,1.33,769.15
2048,1000,2.10,975.81
4096,1000,3.01,1360.57
8192,1000,4.72,1737.20
16384,1000,7.20,2276.72
32768,1000,12.48,2624.92
65536,640,22.88,2864.92
131072,320,41.27,3176.31
262144,160,14.43,18161.32
524288,80,25.69,20407.58
1048576,40,58.01,18074.55
2097152,20,145.88,14375.72
4194304,10,296.91,14126.54
8388608,5,616.11,13615.36
16777216,2,1910.45,8781.81
33554432,1,5542.07,6054.49
67108864,1,11843.51,5666.30
134217728,1,24148.61,5557.99
268435456,1,47526.78,5648.09
