#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.40,0.00
1,1000,0.40,2.47
2,1000,0.40,5.01
4,1000,0.40,10.06
8,1000,0.40,20.23
16,1000,0.41,38.93
32,1000,0.57,56.21
64,1000,0.56,114.82
128,1000,0.86,149.12
256,1000,0.90,282.89
512,1000,1.09,468.47
1024,1000,1.32,778.40
2048,1000,2.10,974.22
4096,1000,2.99,1370.75
8192,1000,4.77,1718.94
16384,1000,7.19,2278.49
32768,1000,12.48,2625.07
65536,640,23.50,2788.65
131072,320,42.46,3086.82
262144,160,14.40,18201.26
524288,80,25.92,20228.94
1048576,40,57.84,18127.51
2097152,20,141.78,14791.56
4194304,10,296.17,14161.67
8388608,5,615.89,13620.33
16777216,2,1899.59,8832.04
33554432,1,5450.59,6156.11
67108864,1,11784.01,5694.91
134217728,1,23702.67,5662.56
268435456,1,47375.16,5666.16
