#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.39,0.00
1,1000,0.40,2.49
2,1000,0.39,5.09
4,1000,0.39,10.16
8,1000,0.39,20.38
16,1000,0.39,40.86
32,1000,0.56,56.76
64,1000,0.55,116.34
128,1000,0.89,144.46
256,1000,0.97,263.24
512,1000,1.16,440.61
1024,1000,1.30,786.05
2048,1000,2.10,973.00
4096,1000,3.01,1361.32
8192,1000,4.73,1733.08
16384,1000,7.32,2239.13
32768,1000,12.51,2618.31
65536,640,23.20,2825.09
131072,320,42.50,3084.03
262144,160,13.18,19886.95
524288,80,23.18,22619.31
1048576,40,55.02,19056.98
2097152,20,139.12,15073.89
4194304,10,299.91,13985.00
8388608,5,623.35,13457.38
16777216,2,1961.82,8551.85
33554432,1,5497.40,6103.69
67108864,1,11817.21,5678.91
134217728,1,23773.05,5645.79
268435456,1,47373.41,5666.37
