[ct1pt-tnode008:16461] MCW rank 0 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
[ct1pt-tnode008:16461] MCW rank 1 bound to socket 0[core 1[hwt 0]]: [./B/./././././././././.][./././././././././././.]
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.19         0.00
            1         1000         0.19         5.28
            2         1000         0.19        10.42
            4         1000         0.19        20.60
            8         1000         0.18        43.78
           16         1000         0.18        87.50
           32         1000         0.22       143.87
           64         1000         0.22       296.63
          128         1000         0.31       409.08
          256         1000         0.34       763.57
          512         1000         0.39      1309.37
         1024         1000         0.50      2037.17
         2048         1000         0.75      2732.86
         4096         1000         1.12      3666.81
         8192         1000         1.86      4402.23
        16384         1000         2.96      5543.11
        32768         1000         4.80      6820.43
        65536          640         8.31      7883.11
       131072          320        15.55      8426.38
       262144          160        13.92     18834.78
       524288           80        24.83     21119.19
      1048576           40        53.42     19629.98
      2097152           20       143.91     14572.36
      4194304           10       303.73     13809.39
