pre.send,main.matrix,remain.matrix,total.comput,total
0.00788477,0.153306,0.0145788,0.167885,0.17577
0.00780243,0.151311,0.0144208,0.165732,0.173535
0.00788878,0.152639,0.0147282,0.167367,0.175256
0.0073157,0.16037,0.0139677,0.174338,0.181654
0.0073368,0.15134,0.0139923,0.165332,0.172669
0.00735731,0.153028,0.0139952,0.167023,0.174381
0.007826,0.151925,0.0144628,0.166388,0.174214
0.00775304,0.151693,0.0143186,0.166012,0.173765
0.00723133,0.151139,0.0138542,0.164994,0.172225
0.00792948,0.153373,0.0146182,0.167991,0.17592
