pre.send,main.matrix,remain.matrix,total.comput,total
0.00775186,0.212037,0.034295,0.246332,0.254084
0.00775526,0.213459,0.0343316,0.24779,0.255545
0.00777116,0.219309,0.0347342,0.254043,0.261814
0.00767123,0.214582,0.0342255,0.248807,0.256479
0.00769733,0.212238,0.0342108,0.246449,0.254146
0.0078264,0.215462,0.0347082,0.25017,0.257996
0.00824768,0.212251,0.0346524,0.246903,0.255151
0.00769961,0.213384,0.04741,0.260794,0.268494
0.00782307,0.21508,0.0411462,0.256226,0.264049
0.00769204,0.21287,0.0342259,0.247096,0.254788
