#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,4.98
2,1000,0.20,10.18
4,1000,0.20,20.40
8,1000,0.20,39.56
16,1000,0.20,79.71
32,1000,0.22,144.05
64,1000,0.22,289.09
128,1000,0.31,416.34
256,1000,0.33,774.75
512,1000,0.40,1265.87
1024,1000,0.49,2082.14
2048,1000,0.74,2761.16
4096,1000,1.12,3665.01
8192,1000,1.86,4394.08
16384,1000,2.95,5550.42
32768,1000,4.79,6834.60
65536,640,8.30,7897.23
131072,320,15.06,8700.49
262144,160,13.72,19111.95
524288,80,24.74,21190.11
1048576,40,53.38,19642.23
2097152,20,141.51,14819.70
4194304,10,307.80,13626.79
8388608,5,849.62,9873.37
16777216,2,2243.25,7478.99
33554432,1,5177.47,6480.85
67108864,1,10354.89,6480.89
134217728,1,20674.78,6491.86
268435456,1,41332.70,6494.51
